,index,Actor,ActorID,Film,Year,Votes,Rating,FilmID,in_endgame
226,8732,Natalie Portman,nm0000204,Lucy in the Sky,2019,6079,4.8,tt4682804,1
227,8733,Natalie Portman,nm0000204,Annihilation,2018,284732,6.8,tt2798920,1
228,8734,Natalie Portman,nm0000204,Vox Lux,2018,16549,5.9,tt5960374,1
229,8735,Natalie Portman,nm0000204,The Death & Life of John F. Donovan,2018,5648,6.2,tt4042818,1
230,8736,Natalie Portman,nm0000204,Song to Song,2017,19190,5.7,tt2062700,1
231,8737,Natalie Portman,nm0000204,Jackie,2016,73560,6.7,tt1619029,1
232,8738,Natalie Portman,nm0000204,Planetarium,2016,3052,4.6,tt4680196,1
233,8739,Natalie Portman,nm0000204,Knight of Cups,2015,25201,5.7,tt2101383,1
234,8740,Natalie Portman,nm0000204,Jane Got a Gun,2015,20977,5.9,tt2140037,1
235,8741,Natalie Portman,nm0000204,A Tale of Love and Darkness,2015,3665,6.0,tt1135989,1
236,8742,Natalie Portman,nm0000204,The Heyday of the Insensitive Bastards,2015,1640,4.4,tt4076926,1
237,8743,Natalie Portman,nm0000204,Thor: The Dark World,2013,604478,6.9,tt1981115,1
238,8744,Natalie Portman,nm0000204,Thor,2011,756855,7.0,tt0800369,1
239,8745,Natalie Portman,nm0000204,No Strings Attached,2011,215472,6.2,tt1411238,1
240,8746,Natalie Portman,nm0000204,Your Highness,2011,96923,5.5,tt1240982,1
241,8747,Natalie Portman,nm0000204,Black Swan,2010,705866,8.0,tt0947798,1
242,8748,Natalie Portman,nm0000204,Hesher,2010,50913,7.0,tt1403177,1
243,8749,Natalie Portman,nm0000204,I'm Still Here,2010,21240,6.2,tt1356864,1
244,8750,Natalie Portman,nm0000204,Brothers,2009,113177,7.1,tt0765010,1
245,8751,Natalie Portman,nm0000204,Love and Other Impossible Pursuits,2009,18751,6.3,tt1032825,1
246,8752,Natalie Portman,nm0000204,The Other Boleyn Girl,2008,105601,6.7,tt0467200,1
247,8753,Natalie Portman,nm0000204,"New York, I Love You",2008,44949,6.2,tt0808399,1
248,8754,Natalie Portman,nm0000204,The Darjeeling Limited,2007,182553,7.2,tt0838221,1
249,8755,Natalie Portman,nm0000204,My Blueberry Nights,2007,52244,6.6,tt0765120,1
250,8756,Natalie Portman,nm0000204,Mr. Magorium's Wonder Emporium,2007,42996,6.2,tt0457419,1
251,8757,Natalie Portman,nm0000204,"Paris, je t'aime",2006,70731,7.2,tt0401711,1
252,8758,Natalie Portman,nm0000204,Goya's Ghosts,2006,29585,6.9,tt0455957,1
253,8759,Natalie Portman,nm0000204,V for Vendetta,2005,1041858,8.2,tt0434409,1
254,8760,Natalie Portman,nm0000204,Star Wars: Episode III - Revenge of the Sith,2005,719510,7.5,tt0121766,1
255,8761,Natalie Portman,nm0000204,Free Zone,2005,2771,5.7,tt0441761,1
256,8762,Natalie Portman,nm0000204,Domino One,2005,255,5.9,tt0446683,1
257,8763,Natalie Portman,nm0000204,Garden State,2004,207312,7.4,tt0333766,1
258,8764,Natalie Portman,nm0000204,Closer,2004,204779,7.2,tt0376541,1
259,8765,Natalie Portman,nm0000204,Cold Mountain,2003,140741,7.2,tt0159365,1
260,8766,Natalie Portman,nm0000204,Star Wars: Episode II - Attack of the Clones,2002,649188,6.5,tt0121765,1
261,8767,Natalie Portman,nm0000204,Zoolander,2001,247922,6.6,tt0196229,1
262,8768,Natalie Portman,nm0000204,Where the Heart Is,2000,31884,6.8,tt0198021,1
263,8769,Natalie Portman,nm0000204,Star Wars: Episode I - The Phantom Menace,1999,738342,6.5,tt0120915,1
264,8770,Natalie Portman,nm0000204,Anywhere But Here,1999,16987,6.2,tt0149691,1
265,8771,Natalie Portman,nm0000204,Mars Attacks!,1996,211699,6.3,tt0116996,1
266,8772,Natalie Portman,nm0000204,Everyone Says I Love You,1996,35615,6.7,tt0116242,1
267,8773,Natalie Portman,nm0000204,Beautiful Girls,1996,31497,7.1,tt0115639,1
268,8774,Natalie Portman,nm0000204,Heat,1995,584859,8.2,tt0113277,1
269,8775,Natalie Portman,nm0000204,Leon: The Professional,1994,1047824,8.5,tt0110413,1
270,12142,Angela Bassett,nm0000291,Soul,2020,215191,8.1,tt2948372,1
271,12143,Angela Bassett,nm0000291,Avengers: Endgame,2019,849079,8.4,tt4154796,1
272,12144,Angela Bassett,nm0000291,Otherhood,2019,9572,6.1,tt4180560,1
273,12145,Angela Bassett,nm0000291,Black Panther,2018,638034,7.3,tt1825683,1
