,index,Actor,ActorID,Film,Year,Votes,Rating,FilmID,in_endgame
594,24710,Robert Redford,nm0000602,Tell Them Willie Boy Is Here,1969,2696,6.3,tt0065079,1
595,24711,Robert Redford,nm0000602,Barefoot in the Park,1967,17341,7.0,tt0061385,1
596,24712,Robert Redford,nm0000602,The Chase,1966,10743,7.2,tt0060232,1
597,24713,Robert Redford,nm0000602,This Property Is Condemned,1966,5307,7.1,tt0061089,1
598,24714,Robert Redford,nm0000602,Inside Daisy Clover,1965,3338,6.2,tt0059314,1
599,24715,Robert Redford,nm0000602,Situation Hopeless... But Not Serious,1965,376,6.0,tt0059724,1
600,24716,Robert Redford,nm0000602,War Hunt,1962,787,6.3,tt0056675,1
601,24717,Robert Redford,nm0000602,Tall Story,1960,809,6.0,tt0054367,1
602,25907,Rene Russo,nm0000623,Avengers: Endgame,2019,849079,8.4,tt4154796,1
603,25908,Rene Russo,nm0000623,Velvet Buzzsaw,2019,55083,5.7,tt7043012,1
604,25909,Rene Russo,nm0000623,Just Getting Started,2017,6445,4.5,tt5721088,1
605,25910,Rene Russo,nm0000623,The Intern,2015,224526,7.1,tt2361509,1
606,25911,Rene Russo,nm0000623,Frank and Cindy,2015,764,6.1,tt1239242,1
607,25912,Rene Russo,nm0000623,Nightcrawler,2014,474197,7.8,tt2872718,1
608,25913,Rene Russo,nm0000623,Thor: The Dark World,2013,604478,6.9,tt1981115,1
609,25914,Rene Russo,nm0000623,Thor,2011,756855,7.0,tt0800369,1
610,25915,Rene Russo,nm0000623,Two for the Money,2005,43655,6.3,tt0417217,1
611,25916,Rene Russo,nm0000623,"Yours, Mine & Ours",2005,26862,5.5,tt0443295,1
612,25917,Rene Russo,nm0000623,Showtime,2002,60866,5.5,tt0284490,1
613,25918,Rene Russo,nm0000623,Big Trouble,2002,19784,6.5,tt0246464,1
614,25919,Rene Russo,nm0000623,The Adventures of Rocky & Bullwinkle,2000,19457,4.2,tt0131704,1
615,25920,Rene Russo,nm0000623,The Thomas Crown Affair,1999,87493,6.9,tt0155267,1
616,25921,Rene Russo,nm0000623,Lethal Weapon 4,1998,154380,6.7,tt0122151,1
617,25922,Rene Russo,nm0000623,Buddy,1997,2496,4.9,tt0118787,1
618,25923,Rene Russo,nm0000623,Ransom,1996,119781,6.7,tt0117438,1
619,25924,Rene Russo,nm0000623,Tin Cup,1996,46494,6.4,tt0117918,1
620,25925,Rene Russo,nm0000623,Outbreak,1995,121181,6.6,tt0114069,1
621,25926,Rene Russo,nm0000623,Get Shorty,1995,76593,6.9,tt0113161,1
622,25927,Rene Russo,nm0000623,Major League II,1994,25147,5.7,tt0110442,1
623,25928,Rene Russo,nm0000623,In the Line of Fire,1993,93768,7.2,tt0107206,1
624,25929,Rene Russo,nm0000623,Lethal Weapon 3,1992,158383,6.7,tt0104714,1
625,25930,Rene Russo,nm0000623,Freejack,1992,15087,5.4,tt0104299,1
626,25931,Rene Russo,nm0000623,One Good Cop,1991,3851,5.9,tt0102593,1
627,25932,Rene Russo,nm0000623,Mr. Destiny,1990,11642,6.4,tt0100201,1
628,25933,Rene Russo,nm0000623,Major League,1989,62595,7.2,tt0097815,1
629,27705,Marisa Tomei,nm0000673,The King of Staten Island,2020,42901,7.1,tt9686708,1
630,27706,Marisa Tomei,nm0000673,Avengers: Endgame,2019,849079,8.4,tt4154796,1
631,27707,Marisa Tomei,nm0000673,Spider-Man: Far from Home,2019,336117,7.5,tt6320628,1
632,27708,Marisa Tomei,nm0000673,Human Capital,2019,4752,5.9,tt9185066,1
633,27709,Marisa Tomei,nm0000673,Frankie,2019,1344,5.5,tt8019694,1
634,27710,Marisa Tomei,nm0000673,I Hate Kids,2019,1194,5.2,tt5969180,1
635,27711,Marisa Tomei,nm0000673,The First Purge,2018,55977,5.2,tt6133466,1
636,27712,Marisa Tomei,nm0000673,After Everything,2018,1203,6.4,tt6688022,1
637,27713,Marisa Tomei,nm0000673,Dark Was the Night,2018,464,5.3,tt5258128,1
638,27714,Marisa Tomei,nm0000673,Spider-Man: Homecoming,2017,523789,7.4,tt2250912,1
639,27715,Marisa Tomei,nm0000673,Captain America: Civil War,2016,675997,7.8,tt3498820,1
640,27716,Marisa Tomei,nm0000673,The Big Short,2015,371632,7.8,tt1596363,1
641,27717,Marisa Tomei,nm0000673,Trainwreck,2015,130311,6.2,tt3152624,1
642,27718,Marisa Tomei,nm0000673,Love the Coopers,2015,22172,5.8,tt2279339,1
643,27719,Marisa Tomei,nm0000673,Spare Parts,2015,10693,7.3,tt3233418,1
644,27720,Marisa Tomei,nm0000673,The Rewrite,2014,18947,6.2,tt2509850,1
645,27721,Marisa Tomei,nm0000673,Love Is Strange,2014,12192,6.7,tt2639344,1
646,27722,Marisa Tomei,nm0000673,Loitering with Intent,2014,714,4.5,tt2390994,1
647,27723,Marisa Tomei,nm0000673,Parental Guidance,2012,24946,6.0,tt1047540,1
648,27724,Marisa Tomei,nm0000673,Inescapable,2012,2550,5.2,tt1844203,1
649,27725,Marisa Tomei,nm0000673,"Crazy, Stupid, Love.",2011,478740,7.4,tt1570728,1
650,27726,Marisa Tomei,nm0000673,The Lincoln Lawyer,2011,217261,7.3,tt1189340,1
651,27727,Marisa Tomei,nm0000673,The Ides of March,2011,216568,7.1,tt1124035,1
652,27728,Marisa Tomei,nm0000673,Salvation Boulevard,2011,4423,5.3,tt1251743,1
653,27729,Marisa Tomei,nm0000673,Cyrus,2010,33788,6.3,tt1336617,1
654,27730,Marisa Tomei,nm0000673,The Wrestler,2008,290984,7.9,tt1125849,1
655,27731,Marisa Tomei,nm0000673,"War, Inc.",2008,21491,5.6,tt0884224,1
656,27732,Marisa Tomei,nm0000673,Wild Hogs,2007,114645,5.8,tt0486946,1
657,27733,Marisa Tomei,nm0000673,Before the Devil Knows You're Dead,2007,97654,7.3,tt0292963,1
658,27734,Marisa Tomei,nm0000673,Grace Is Gone,2007,9070,6.7,tt0772168,1
659,27735,Marisa Tomei,nm0000673,Factotum,2005,13921,6.6,tt0417658,1
660,27736,Marisa Tomei,nm0000673,Danika,2005,3498,5.6,tt0469062,1
661,27737,Marisa Tomei,nm0000673,Loverboy,2005,3080,5.4,tt0388213,1
662,27738,Marisa Tomei,nm0000673,Marilyn Hotchkiss' Ballroom Dancing & Charm School,2005,2968,6.6,tt0409034,1
663,27739,Marisa Tomei,nm0000673,Alfie,2004,51039,6.2,tt0375173,1
664,27740,Marisa Tomei,nm0000673,Anger Management,2003,204306,6.3,tt0305224,1
665,27741,Marisa Tomei,nm0000673,The Guru,2002,14808,5.3,tt0280720,1
666,27742,Marisa Tomei,nm0000673,The Wild Thornberrys Movie,2002,14051,5.6,tt0282120,1
667,27743,Marisa Tomei,nm0000673,Just a Kiss,2002,1437,5.0,tt0245479,1
668,27744,Marisa Tomei,nm0000673,In the Bedroom,2001,37587,7.4,tt0247425,1
669,27745,Marisa Tomei,nm0000673,Someone Like You...,2001,23635,6.1,tt0244970,1
670,27746,Marisa Tomei,nm0000673,What Women Want,2000,193041,6.4,tt0207201,1
671,27747,Marisa Tomei,nm0000673,The Watcher,2000,25981,5.3,tt0204626,1
672,27748,Marisa Tomei,nm0000673,Happy Accidents,2000,9535,7.2,tt0208196,1
673,27749,Marisa Tomei,nm0000673,King of the Jungle,2000,513,5.9,tt0177888,1
674,27750,Marisa Tomei,nm0000673,Slums of Beverly Hills,1998,12103,6.6,tt0120831,1
675,27751,Marisa Tomei,nm0000673,Welcome to Sarajevo,1997,6988,6.8,tt0120490,1
676,27752,Marisa Tomei,nm0000673,A Brother's Kiss,1997,331,5.9,tt0118783,1
677,27753,Marisa Tomei,nm0000673,Unhook the Stars,1996,2043,6.5,tt0118044,1
678,27754,Marisa Tomei,nm0000673,Four Rooms,1995,98983,6.8,tt0113101,1
679,27755,Marisa Tomei,nm0000673,The Perez Family,1995,2118,6.0,tt0114113,1
680,27756,Marisa Tomei,nm0000673,Only You,1994,20971,6.5,tt0110737,1
681,27757,Marisa Tomei,nm0000673,The Paper,1994,13130,6.7,tt0110771,1
682,27758,Marisa Tomei,nm0000673,Untamed Heart,1993,12847,6.8,tt0108451,1
683,27759,Marisa Tomei,nm0000673,My Cousin Vinny,1992,108698,7.6,tt0104952,1
684,27760,Marisa Tomei,nm0000673,Chaplin,1992,54114,7.6,tt0103939,1
685,27761,Marisa Tomei,nm0000673,Equinox,1992,1165,5.5,tt0104201,1
686,27762,Marisa Tomei,nm0000673,Oscar,1991,30066,6.6,tt0102603,1
687,27763,Marisa Tomei,nm0000673,Zandalee,1991,3463,4.4,tt0101004,1
688,27764,Marisa Tomei,nm0000673,Playing for Keeps,1986,601,4.3,tt0091767,1
689,27765,Marisa Tomei,nm0000673,The Toxic Avenger,1984,25306,6.3,tt0090190,1
690,27766,Marisa Tomei,nm0000673,The Flamingo Kid,1984,4946,6.2,tt0087265,1
691,34484,Josh Brolin,nm0000982,Avengers: Endgame,2019,849079,8.4,tt4154796,1
692,34485,Josh Brolin,nm0000982,Avengers: Infinity War,2018,860288,8.4,tt4154756,1
693,34486,Josh Brolin,nm0000982,Deadpool 2,2018,489623,7.7,tt5463162,1
694,34487,Josh Brolin,nm0000982,Sicario: Day of the Soldado,2018,127788,7.1,tt5052474,1
695,34488,Josh Brolin,nm0000982,The Legacy of a Whitetail Deer Hunter,2018,3548,5.5,tt4762824,1
696,34489,Josh Brolin,nm0000982,Only the Brave,2017,59689,7.6,tt3829920,1
697,34490,Josh Brolin,nm0000982,"Hail, Caesar!",2016,125408,6.3,tt0475290,1
698,34491,Josh Brolin,nm0000982,Avengers: Age of Ultron,2015,759655,7.3,tt2395427,1
699,34492,Josh Brolin,nm0000982,Sicario,2015,376563,7.6,tt3397884,1
700,34493,Josh Brolin,nm0000982,Everest,2015,199555,7.1,tt2719848,1
701,34494,Josh Brolin,nm0000982,Guardians of the Galaxy,2014,1055470,8.0,tt2015381,1
702,34495,Josh Brolin,nm0000982,Sin City: A Dame to Kill For,2014,153569,6.5,tt0458481,1
703,34496,Josh Brolin,nm0000982,Inherent Vice,2014,95959,6.7,tt1791528,1
704,34497,Josh Brolin,nm0000982,Gangster Squad,2013,207303,6.7,tt1321870,1
705,34498,Josh Brolin,nm0000982,Old Boy,2013,69860,5.7,tt1321511,1
706,34499,Josh Brolin,nm0000982,Labor Day,2013,43204,6.9,tt1967545,1
707,34500,Josh Brolin,nm0000982,Men in Black 3,2012,337534,6.8,tt1409024,1
708,34501,Josh Brolin,nm0000982,True Grit,2010,314985,7.6,tt1403865,1
709,34502,Josh Brolin,nm0000982,Wall Street: Money Never Sleeps,2010,99030,6.2,tt1027718,1
710,34503,Josh Brolin,nm0000982,Jonah Hex,2010,55785,4.7,tt1075747,1
711,34504,Josh Brolin,nm0000982,You Will Meet a Tall Dark Stranger,2010,44088,6.3,tt1182350,1
712,34505,Josh Brolin,nm0000982,Women in Trouble,2009,5901,5.7,tt1247704,1
713,34506,Josh Brolin,nm0000982,Milk,2008,165644,7.5,tt1013753,1
714,34507,Josh Brolin,nm0000982,W.,2008,46444,6.3,tt1175491,1
715,34508,Josh Brolin,nm0000982,No Country for Old Men,2007,868496,8.1,tt0477348,1
716,34509,Josh Brolin,nm0000982,American Gangster,2007,396277,7.8,tt0765429,1
717,34510,Josh Brolin,nm0000982,Planet Terror,2007,200966,7.0,tt1077258,1
718,34511,Josh Brolin,nm0000982,Grindhouse,2007,178624,7.5,tt0462322,1
719,34512,Josh Brolin,nm0000982,In the Valley of Elah,2007,69205,7.1,tt0478134,1
720,34513,Josh Brolin,nm0000982,To Each His Own Cinema,2007,4769,6.8,tt0973844,1
721,34514,Josh Brolin,nm0000982,The Dead Girl,2006,14552,6.6,tt0783238,1
722,34515,Josh Brolin,nm0000982,Into the Blue,2005,73921,5.9,tt0378109,1
723,34516,Josh Brolin,nm0000982,Melinda and Melinda,2004,31253,6.4,tt0378947,1
724,34517,Josh Brolin,nm0000982,"Milwaukee, Minnesota",2003,655,6.3,tt0285727,1
725,34518,Josh Brolin,nm0000982,Coastlines,2002,580,5.8,tt0284971,1
726,34519,Josh Brolin,nm0000982,Hollow Man,2000,124355,5.8,tt0164052,1
727,34520,Josh Brolin,nm0000982,The Mod Squad,1999,8694,4.3,tt0120757,1
728,34521,Josh Brolin,nm0000982,Best Laid Plans,1999,7265,6.1,tt0133412,1
729,34522,Josh Brolin,nm0000982,All the Rage,1999,1706,5.5,tt0176426,1
730,34523,Josh Brolin,nm0000982,Mimic,1997,46561,6.0,tt0119675,1
731,34524,Josh Brolin,nm0000982,Nightwatch,1997,18901,6.2,tt0119791,1
732,34525,Josh Brolin,nm0000982,My Brother's War,1997,171,5.0,tt0133987,1
733,34526,Josh Brolin,nm0000982,Flirting with Disaster,1996,17821,6.7,tt0116324,1
734,34527,Josh Brolin,nm0000982,Bed of Roses,1996,7887,6.1,tt0115644,1
735,34528,Josh Brolin,nm0000982,The Road Killers,1994,1531,5.1,tt0110999,1
736,34529,Josh Brolin,nm0000982,Thrashin',1986,3621,6.7,tt0092085,1
737,34530,Josh Brolin,nm0000982,The Goonies,1985,246975,7.8,tt0089218,1
738,68168,Linda Cardellini,nm0004802,Capone,2020,16555,4.7,tt6199572,1
739,68169,Linda Cardellini,nm0004802,Avengers: Endgame,2019,849079,8.4,tt4154796,1
740,68170,Linda Cardellini,nm0004802,The Curse of La Llorona,2019,39360,5.3,tt4913966,1
741,68171,Linda Cardellini,nm0004802,Green Book,2018,393844,8.2,tt6966692,1
742,68172,Linda Cardellini,nm0004802,A Simple Favor,2018,131739,6.8,tt7040874,1
743,68173,Linda Cardellini,nm0004802,Hunter Killer,2018,55770,6.6,tt1846589,1
744,68174,Linda Cardellini,nm0004802,Daddy's Home 2,2017,63655,6.0,tt5657846,1
745,68175,Linda Cardellini,nm0004802,Austin Found,2017,684,5.4,tt2658538,1
746,68176,Linda Cardellini,nm0004802,The Founder,2016,128963,7.2,tt4276820,1
747,68177,Linda Cardellini,nm0004802,Avengers: Age of Ultron,2015,759655,7.3,tt2395427,1
748,68178,Linda Cardellini,nm0004802,Daddy's Home,2015,110061,6.2,tt1528854,1
749,68179,Linda Cardellini,nm0004802,Welcome to Me,2014,18298,5.9,tt2788716,1
750,68180,Linda Cardellini,nm0004802,Kill the Irishman,2011,46240,7.1,tt1416801,1
751,68181,Linda Cardellini,nm0004802,Return,2011,908,6.1,tt1677082,1
752,68182,Linda Cardellini,nm0004802,Super,2010,75456,6.7,tt1512235,1
753,68183,Linda Cardellini,nm0004802,The Lazarus Project,2008,17108,6.1,tt0464041,1
754,68184,Linda Cardellini,nm0004802,Grandma's Boy,2006,78078,7.0,tt0456554,1
755,68185,Linda Cardellini,nm0004802,Brokeback Mountain,2005,326048,7.7,tt0388795,1
756,68186,Linda Cardellini,nm0004802,American Gun,2005,2996,6.1,tt0416471,1
757,68187,Linda Cardellini,nm0004802,Scooby-Doo 2: Monsters Unleashed,2004,50842,5.1,tt0331632,1
758,68188,Linda Cardellini,nm0004802,Jiminy Glick in Lalawood,2004,2047,5.5,tt0347369,1
759,68189,Linda Cardellini,nm0004802,LolliLove,2004,1362,6.2,tt0316187,1
760,68190,Linda Cardellini,nm0004802,Scooby-Doo,2002,100946,5.1,tt0267913,1
761,68191,Linda Cardellini,nm0004802,Legally Blonde,2001,188245,6.3,tt0250494,1
762,68192,Linda Cardellini,nm0004802,The Unsaid,2001,6187,6.7,tt0258967,1
763,68193,Linda Cardellini,nm0004802,The Prince and the Surfer,1999,263,4.4,tt0173052,1
764,68194,Linda Cardellini,nm0004802,Dead Man on Campus,1998,13499,6.1,tt0118301,1
765,68195,Linda Cardellini,nm0004802,Strangeland,1998,6637,5.2,tt0124102,1
766,68196,Linda Cardellini,nm0004802,Good Burger,1997,26688,5.7,tt0119215,1
767,68610,Vin Diesel,nm0004874,Bloodshot,2020,62953,5.7,tt1634106,1
768,68611,Vin Diesel,nm0004874,Avengers: Endgame,2019,849079,8.4,tt4154796,1
769,68612,Vin Diesel,nm0004874,Avengers: Infinity War,2018,860288,8.4,tt4154756,1
770,68613,Vin Diesel,nm0004874,Ralph Breaks the Internet,2018,135057,7.0,tt5848272,1
771,68614,Vin Diesel,nm0004874,Guardians of the Galaxy Vol. 2,2017,580143,7.6,tt3896198,1
772,68615,Vin Diesel,nm0004874,The Fate of the Furious,2017,207323,6.7,tt4630562,1
773,68616,Vin Diesel,nm0004874,xXx: Return of Xander Cage,2017,86282,5.2,tt1293847,1
774,68617,Vin Diesel,nm0004874,Billy Lynn's Long Halftime Walk,2016,21301,6.2,tt2513074,1
775,68618,Vin Diesel,nm0004874,Furious 7,2015,362184,7.1,tt2820852,1
776,68619,Vin Diesel,nm0004874,The Last Witch Hunter,2015,96239,6.0,tt1618442,1
777,68620,Vin Diesel,nm0004874,Guardians of the Galaxy,2014,1055470,8.0,tt2015381,1
778,68621,Vin Diesel,nm0004874,Fast & Furious 6,2013,370952,7.0,tt1905041,1
779,68622,Vin Diesel,nm0004874,Riddick,2013,155153,6.4,tt1411250,1
780,68623,Vin Diesel,nm0004874,Fast Five,2011,355129,7.3,tt1596343,1
781,68624,Vin Diesel,nm0004874,Fast & Furious,2009,265116,6.6,tt1013752,1
782,68625,Vin Diesel,nm0004874,Babylon A.D.,2008,93480,5.6,tt0364970,1
783,68626,Vin Diesel,nm0004874,The Fast and the Furious: Tokyo Drift,2006,244978,6.0,tt0463985,1
784,68627,Vin Diesel,nm0004874,Find Me Guilty,2006,33126,7.0,tt0419749,1
785,68628,Vin Diesel,nm0004874,The Pacifier,2005,88737,5.6,tt0395699,1
786,68629,Vin Diesel,nm0004874,The Chronicles of Riddick,2004,215589,6.7,tt0296572,1
787,68630,Vin Diesel,nm0004874,A Man Apart,2003,45358,6.1,tt0266465,1
788,68631,Vin Diesel,nm0004874,xXx,2002,173892,5.9,tt0295701,1
789,68632,Vin Diesel,nm0004874,The Fast and the Furious,2001,351156,6.8,tt0232500,1
790,68633,Vin Diesel,nm0004874,Knockaround Guys,2001,22892,6.1,tt0211465,1
791,68634,Vin Diesel,nm0004874,Pitch Black,2000,226450,7.1,tt0134847,1
792,68635,Vin Diesel,nm0004874,Boiler Room,2000,49818,7.0,tt0181984,1
793,68636,Vin Diesel,nm0004874,The Iron Giant,1999,173754,8.0,tt0129167,1
794,68637,Vin Diesel,nm0004874,Saving Private Ryan,1998,1249995,8.6,tt0120815,1
795,68638,Vin Diesel,nm0004874,Strays,1997,1543,5.6,tt0149171,1
796,68639,Vin Diesel,nm0004874,Awakenings,1990,127438,7.8,tt0099077,1
797,89313,Taika Waititi,nm0169806,Free Guy,2021,446,7.6,tt6264654,1
798,89314,Taika Waititi,nm0169806,Avengers: Endgame,2019,849079,8.4,tt4154796,1
799,89315,Taika Waititi,nm0169806,Jojo Rabbit,2019,310904,7.9,tt2584384,1
800,89316,Taika Waititi,nm0169806,Seven Stages to Achieve Eternal Bliss,2018,639,5.6,tt4270452,1
801,89317,Taika Waititi,nm0169806,Thor: Ragnarok,2017,602974,7.9,tt3501632,1
802,89318,Taika Waititi,nm0169806,Hunt for the Wilderpeople,2016,113999,7.9,tt4698684,1
803,89319,Taika Waititi,nm0169806,What We Do in the Shadows,2014,159860,7.7,tt3416742,1
804,89320,Taika Waititi,nm0169806,Green Lantern,2011,268721,5.5,tt1133985,1
805,89321,Taika Waititi,nm0169806,Boy,2010,22638,7.5,tt1560139,1
806,89322,Taika Waititi,nm0169806,Eagle vs Shark,2007,23248,6.8,tt0494222,1
807,89323,Taika Waititi,nm0169806,Futile Attraction,2004,117,4.9,tt0414998,1
808,89324,Taika Waititi,nm0169806,Tongan Ninja,2002,669,6.0,tt0352925,1
809,89325,Taika Waititi,nm0169806,Snakeskin,2001,470,5.2,tt0244803,1
810,89326,Taika Waititi,nm0169806,Scarfies,1999,1044,6.4,tt0189981,1
811,89580,Kerry Condon,nm0174403,Avengers: Endgame,2019,849079,8.4,tt4154796,1
812,89581,Kerry Condon,nm0174403,Dreamland,2019,2938,5.8,tt5294522,1
813,89582,Kerry Condon,nm0174403,Avengers: Infinity War,2018,860288,8.4,tt4154756,1
814,89583,Kerry Condon,nm0174403,Bad Samaritan,2018,19918,6.5,tt3203528,1
815,89584,Kerry Condon,nm0174403,Spider-Man: Homecoming,2017,523789,7.4,tt2250912,1
816,89585,Kerry Condon,nm0174403,"Three Billboards Outside Ebbing, Missouri",2017,442684,8.1,tt5027774,1
817,89586,Kerry Condon,nm0174403,Captain America: Civil War,2016,675997,7.8,tt3498820,1
818,89587,Kerry Condon,nm0174403,Avengers: Age of Ultron,2015,759655,7.3,tt2395427,1
819,89588,Kerry Condon,nm0174403,Gold,2014,1245,6.5,tt3134422,1
820,89589,Kerry Condon,nm0174403,Dom Hemingway,2013,25810,6.2,tt2402105,1
821,89590,Kerry Condon,nm0174403,This Must Be the Place,2011,32971,6.7,tt1440345,1
822,89591,Kerry Condon,nm0174403,The Runway,2010,604,6.5,tt1385633,1
823,89592,Kerry Condon,nm0174403,The Last Station,2009,17977,7.0,tt0824758,1
824,89593,Kerry Condon,nm0174403,Unleashed,2005,98974,7.0,tt0342258,1
825,89594,Kerry Condon,nm0174403,The Halo Effect,2004,204,5.8,tt0347138,1
826,89595,Kerry Condon,nm0174403,Ned Kelly,2003,26035,6.5,tt0277941,1
827,89596,Kerry Condon,nm0174403,Intermission,2003,15266,6.8,tt0332658,1
828,89597,Kerry Condon,nm0174403,How Harry Became a Tree,2001,801,6.8,tt0256084,1
829,89598,Kerry Condon,nm0174403,Rat,2000,920,5.9,tt0234570,1
830,89599,Kerry Condon,nm0174403,Angela's Ashes,1999,20747,7.3,tt0145653,1
831,90157,Bradley Cooper,nm0177896,Avengers: Endgame,2019,849079,8.4,tt4154796,1
832,90158,Bradley Cooper,nm0177896,Avengers: Infinity War,2018,860288,8.4,tt4154756,1
833,90159,Bradley Cooper,nm0177896,A Star Is Born,2018,340752,7.6,tt1517451,1
834,90160,Bradley Cooper,nm0177896,The Mule,2018,116356,7.0,tt7959026,1
835,90161,Bradley Cooper,nm0177896,Guardians of the Galaxy Vol. 2,2017,580143,7.6,tt3896198,1
836,90162,Bradley Cooper,nm0177896,10 Cloverfield Lane,2016,293852,7.2,tt1179933,1
837,90163,Bradley Cooper,nm0177896,War Dogs,2016,183033,7.1,tt2005151,1
838,90164,Bradley Cooper,nm0177896,Joy,2015,129356,6.6,tt2446980,1
839,90165,Bradley Cooper,nm0177896,Burnt,2015,108008,6.6,tt2503944,1
840,90166,Bradley Cooper,nm0177896,Aloha,2015,63164,5.4,tt1243974,1
841,90167,Bradley Cooper,nm0177896,"Baby, Baby, Baby",2015,688,5.8,tt3829884,1
842,90168,Bradley Cooper,nm0177896,Guardians of the Galaxy,2014,1055470,8.0,tt2015381,1
843,90169,Bradley Cooper,nm0177896,American Sniper,2014,443938,7.3,tt2179136,1
844,90170,Bradley Cooper,nm0177896,Serena,2014,27337,5.4,tt1247690,1
845,90171,Bradley Cooper,nm0177896,American Hustle,2013,452517,7.2,tt1800241,1
846,90172,Bradley Cooper,nm0177896,The Hangover Part III,2013,295515,5.8,tt1951261,1
847,90173,Bradley Cooper,nm0177896,Silver Linings Playbook,2012,667038,7.7,tt1045658,1
848,90174,Bradley Cooper,nm0177896,The Place Beyond the Pines,2012,249326,7.3,tt1817273,1
849,90175,Bradley Cooper,nm0177896,The Words,2012,75086,7.0,tt1840417,1
850,90176,Bradley Cooper,nm0177896,Hit and Run,2012,34790,6.1,tt2097307,1
851,90177,Bradley Cooper,nm0177896,Limitless,2011,530434,7.4,tt1219289,1
852,90178,Bradley Cooper,nm0177896,The Hangover Part II,2011,466764,6.5,tt1411697,1
853,90179,Bradley Cooper,nm0177896,The A-Team,2010,247008,6.7,tt0429493,1
854,90180,Bradley Cooper,nm0177896,Valentine's Day,2010,114959,5.7,tt0817230,1
855,90181,Bradley Cooper,nm0177896,The Hangover,2009,722283,7.7,tt1119646,1
856,90182,Bradley Cooper,nm0177896,He's Just Not That Into You,2009,163219,6.4,tt1001508,1
857,90183,Bradley Cooper,nm0177896,Case 39,2009,79935,6.2,tt0795351,1
858,90184,Bradley Cooper,nm0177896,All About Steve,2009,39917,4.8,tt0881891,1
859,90185,Bradley Cooper,nm0177896,Yes Man,2008,338175,6.8,tt1068680,1
860,90186,Bradley Cooper,nm0177896,The Midnight Meat Train,2008,60586,6.0,tt0805570,1
861,90187,Bradley Cooper,nm0177896,"New York, I Love You",2008,44949,6.2,tt0808399,1
862,90188,Bradley Cooper,nm0177896,The Rocker,2008,36842,6.2,tt1031969,1
863,90189,Bradley Cooper,nm0177896,Older Than America,2008,875,5.3,tt0932669,1
864,90190,Bradley Cooper,nm0177896,The Comebacks,2007,11095,4.3,tt0790804,1
865,90191,Bradley Cooper,nm0177896,Failure to Launch,2006,75390,5.6,tt0427229,1
866,90192,Bradley Cooper,nm0177896,Wedding Crashers,2005,334726,6.9,tt0396269,1
867,90193,Bradley Cooper,nm0177896,My Little Eye,2002,11689,5.5,tt0280969,1
868,90194,Bradley Cooper,nm0177896,Bending All the Rules,2002,659,2.3,tt0349193,1
869,90195,Bradley Cooper,nm0177896,Wet Hot American Summer,2001,54616,6.6,tt0243655,1
870,92528,James D'Arcy,nm0195439,Six Minutes to Midnight,2020,1355,5.7,tt5114840,1
871,92529,James D'Arcy,nm0195439,LX 2048,2020,981,4.9,tt7400998,1
872,92530,James D'Arcy,nm0195439,Avengers: Endgame,2019,849079,8.4,tt4154796,1
873,92531,James D'Arcy,nm0195439,Life Like,2019,2296,5.4,tt6547786,1
874,92532,James D'Arcy,nm0195439,Dunkirk,2017,565451,7.8,tt5013056,1
875,92533,James D'Arcy,nm0195439,The Snowman,2017,59151,5.1,tt1758810,1
876,92534,James D'Arcy,nm0195439,Guernica,2016,2097,5.8,tt2556114,1
877,92535,James D'Arcy,nm0195439,Jupiter Ascending,2015,180106,5.3,tt1617661,1
878,92536,James D'Arcy,nm0195439,Survivor,2015,31676,5.6,tt3247714,1
879,92537,James D'Arcy,nm0195439,Let's Be Cops,2014,127821,6.4,tt1924435,1
880,92538,James D'Arcy,nm0195439,After the Dark,2013,21393,5.7,tt1928340,1
881,92539,James D'Arcy,nm0195439,Cloud Atlas,2012,346478,7.4,tt1371111,1
882,92540,James D'Arcy,nm0195439,Hitchcock,2012,72413,6.8,tt0975645,1
883,92541,James D'Arcy,nm0195439,In Their Skin,2012,5190,5.3,tt1790869,1
884,92542,James D'Arcy,nm0195439,Overnight,2012,614,5.2,tt1296881,1
885,92543,James D'Arcy,nm0195439,The Domino Effect,2012,238,6.2,tt1418380,1
886,92544,James D'Arcy,nm0195439,W.E.,2011,12187,6.3,tt1536048,1
887,92545,James D'Arcy,nm0195439,Age of Heroes,2011,9484,5.6,tt1590950,1
888,92546,James D'Arcy,nm0195439,Screwed,2011,1967,5.6,tt1727816,1
889,92547,James D'Arcy,nm0195439,The Flight of the Swan,2010,143,4.6,tt1545489,1
890,92548,James D'Arcy,nm0195439,Flashbacks of a Fool,2008,11994,6.8,tt1037218,1
891,92549,James D'Arcy,nm0195439,Rise: Blood Hunter,2007,11412,4.9,tt0389328,1
892,92550,James D'Arcy,nm0195439,An American Haunting,2005,24853,5.1,tt0429573,1
893,92551,James D'Arcy,nm0195439,Exorcist: The Beginning,2004,33654,5.2,tt0204313,1
894,92552,James D'Arcy,nm0195439,Master and Commander: The Far Side of the World,2003,204652,7.4,tt0311113,1
895,92553,James D'Arcy,nm0195439,Dot the I,2003,8243,6.8,tt0326835,1
896,92554,James D'Arcy,nm0195439,Revelation,2001,1548,4.8,tt0278675,1
897,92555,James D'Arcy,nm0195439,Guest House Paradiso,1999,9539,6.2,tt0202381,1
898,92556,James D'Arcy,nm0195439,The Trench,1999,2734,6.0,tt0161010,1
